ID,Shape,Layout,Area,MainArea,Age,Floor,TopSchool,Parking,Balcony,LowStruct,DisTrict,Road,Money
1,公寓,3房2廳2衛,權狀33.35坪,主建27.5坪,39年,4F/5F,0.0,0.0,0.0,0.0,鳳山區-,北昌五街,398
2,電梯大樓,3房2廳2衛,權狀36.11坪,主建19.49坪,7年,8F/15F,1.0,1.0,1.0,0.0,鳳山區-,漢慶街,"1,088"
3,電梯大樓,2房2廳1衛,權狀31.53坪,主建16.77坪,24年,12F/14F,0.0,1.0,0.0,0.0,橋頭區-,德松路17巷,928
4,透天厝,6房2廳8衛,權狀107.91坪,主建99.15坪,11個月,整棟/5F,0.0,0.0,0.0,0.0,前鎮區-,民權二路,"4,610"
5,透天厝,5房2廳4衛,權狀69.38坪,主建61.69坪,10個月,整棟/5F,0.0,0.0,0.0,0.0,橋頭區-,經武路1130巷,"2,680"
6,電梯大樓,5房2廳3衛,權狀122.67坪,主建68.44坪,16年,9F/29F,0.0,1.0,0.0,1.0,橋頭區-,經武路1130巷,"3,980"
7,電梯大樓,2房2廳2衛,權狀28.02坪,主建15.26坪,3年,7F/15F,0.0,1.0,0.0,0.0,鼓山區-,馬卡道路,988
8,電梯大樓,3房2廳2衛,權狀105.98坪,主建43.3坪,10個月,3F/27F,0.0,1.0,0.0,0.0,前鎮區-,民權二路,"5,288"
9,電梯大樓,4房2廳3衛,權狀82.05坪,主建47.72坪,16年,23F/29F,0.0,1.0,1.0,1.0,鳳山區-,北昌二街,"2,980"
10,透天厝,6房2廳4衛,權狀55.76坪,主建53.15坪,40年,整棟/3F,0.0,0.0,0.0,0.0,楠梓區-,德富街,"1,780"
11,電梯大樓,3房2廳2衛,權狀43.07坪,主建20.86坪,8年,6F/15F,0.0,1.0,1.0,0.0,楠梓區-,翠屏路,"1,198"
12,電梯大樓,4房2廳2衛,權狀69.22坪,主建30.66坪,8年,19F/20F,0.0,1.0,0.0,0.0,小港區-,桂江街,"2,288"
13,電梯大樓,2房2廳1衛,權狀28.41坪,主建13.84坪,10年,5F/15F,0.0,1.0,0.0,0.0,新興區-,民生一路,898
14,電梯大樓,2房2廳1衛,權狀33.3坪,主建13.92坪,不詳,6F/34F,0.0,1.0,1.0,0.0,楠梓區-,後勁西路111巷,"1,156"
15,別墅,5房2廳4衛,權狀56.78坪,主建56.78坪,2年,整棟/5F,0.0,0.0,0.0,0.0,楠梓區-,廣昌街,"2,480"
16,公寓,3房2廳1衛,權狀17.76坪,主建17.76坪,43年,5F/5F,0.0,0.0,0.0,0.0,楠梓區-,土庫二路172巷,398
17,電梯大樓,2房1廳1衛,權狀25.71坪,主建13.18坪,9年,5F/15F,0.0,0.0,0.0,0.0,楠梓區-,德中路,798
18,別墅,5房2廳4衛,權狀64.99坪,主建58.29坪,1年,整棟/4F,0.0,0.0,0.0,0.0,楠梓區-,北昌街,"2,359"
19,透天厝,5房2廳2衛,權狀59.77坪,主建55.14坪,16年,整棟/4F,0.0,0.0,0.0,0.0,左營區-,大中二路,"2,198"
20,電梯大樓,4房2廳2衛,權狀39.29坪,主建21.42坪,24年,14F/14F,0.0,0.0,0.0,0.0,鳳山區-,北昌二街,938
21,電梯大樓,3房2廳2衛,權狀37.94坪,主建20.82坪,28年,20F/20F,0.0,1.0,1.0,0.0,橋頭區-,橋新三路,"1,058"
22,公寓,2房1廳1衛,權狀24.67坪,主建13坪,97年,2F/15F,0.0,0.0,1.0,0.0,楠梓區-,大學二街,738
23,電梯大樓,3房2廳2衛,權狀33坪,主建22.5坪,18年,14F/15F,1.0,0.0,0.0,0.0,鼓山區-,美術東一路,898
24,電梯大樓,3房2廳2衛,權狀51.24坪,主建22.68坪,2年,6F/15F,0.0,1.0,1.0,0.0,楠梓區-,大學十一街,"1,528"
25,電梯大樓,3房2廳2衛,權狀49坪,主建23坪,2年,3F/15F,1.0,1.0,1.0,0.0,鼓山區-,裕國街,"1,598"
26,透天厝,5房2廳4衛,權狀57.2坪,主建51.64坪,20年,1F/5F,0.0,0.0,1.0,0.0,鼓山區-,美術東四路,"1,680"
27,透天厝,4房2廳3衛,權狀55.06坪,主建50.27坪,1個月,1F/5F,0.0,0.0,1.0,0.0,鼓山區-,青海路,"2,180"
28,電梯大樓,2房2廳2衛,權狀23.72坪,主建14.24坪,1年,9F/15F,0.0,0.0,0.0,0.0,楠梓區-,惠正街,"1,168"
29,電梯大樓,3房2廳2衛,權狀43.6坪,主建21.33坪,11年,5F/15F,0.0,1.0,1.0,0.0,三民區-,鼎新路,"1,328"
30,電梯大樓,3房2廳2衛,權狀40.7坪,主建18.57坪,11個月,3F/13F,0.0,1.0,0.0,0.0,鼓山區-,裕誠路,"1,380"
31,電梯大樓,3房2廳2衛,權狀39.26坪,主建20.94坪,24年,8F/12F,0.0,1.0,0.0,0.0,橋頭區-,經武路,"1,135"
32,電梯大樓,4房2廳3衛,權狀127.05坪,主建69.31坪,8年,21F/38F,0.0,0.0,0.0,0.0,小港區-,高坪五路,"4,988"
