Shape,Area,MainArea,Age,TopSchool,Parking,Balcony,LowStruct,DisTrict,Money,Room,LivingRoom,Bathroom,Floor_min,Floor_max
公寓,33.35,27.5,39.0,0.0,0.0,0.0,0.0,鳳山區,398.0,3.0,2.0,2.0,4,5
電梯大樓,36.11,19.49,7.0,1.0,1.0,1.0,0.0,鳳山區,1088.0,3.0,2.0,2.0,8,15
電梯大樓,31.53,16.77,24.0,0.0,1.0,0.0,0.0,橋頭區,928.0,2.0,2.0,1.0,12,14
透天厝,107.91,99.15,0.9166666666666666,0.0,0.0,0.0,0.0,前鎮區,4610.0,6.0,2.0,8.0,All,5
透天厝,69.38,61.69,0.8333333333333334,0.0,0.0,0.0,0.0,橋頭區,2680.0,5.0,2.0,4.0,All,5
電梯大樓,122.67,68.44,16.0,0.0,1.0,0.0,1.0,橋頭區,3980.0,5.0,2.0,3.0,9,29
電梯大樓,28.02,15.26,3.0,0.0,1.0,0.0,0.0,鼓山區,988.0,2.0,2.0,2.0,7,15
電梯大樓,105.98,43.3,0.8333333333333334,0.0,1.0,0.0,0.0,前鎮區,5288.0,3.0,2.0,2.0,3,27
電梯大樓,82.05,47.72,16.0,0.0,1.0,1.0,1.0,鳳山區,2980.0,4.0,2.0,3.0,23,29
透天厝,55.76,53.15,40.0,0.0,0.0,0.0,0.0,楠梓區,1780.0,6.0,2.0,4.0,All,3
電梯大樓,43.07,20.86,8.0,0.0,1.0,1.0,0.0,楠梓區,1198.0,3.0,2.0,2.0,6,15
電梯大樓,69.22,30.66,8.0,0.0,1.0,0.0,0.0,小港區,2288.0,4.0,2.0,2.0,19,20
電梯大樓,28.41,13.84,10.0,0.0,1.0,0.0,0.0,新興區,898.0,2.0,2.0,1.0,5,15
電梯大樓,33.3,13.92,20.0,0.0,1.0,1.0,0.0,楠梓區,1156.0,2.0,2.0,1.0,6,34
別墅,56.78,56.78,2.0,0.0,0.0,0.0,0.0,楠梓區,2480.0,5.0,2.0,4.0,All,5
公寓,17.76,17.76,43.0,0.0,0.0,0.0,0.0,楠梓區,398.0,3.0,2.0,1.0,5,5
電梯大樓,25.71,13.18,9.0,0.0,0.0,0.0,0.0,楠梓區,798.0,2.0,1.0,1.0,5,15
別墅,64.99,58.29,1.0,0.0,0.0,0.0,0.0,楠梓區,2359.0,5.0,2.0,4.0,All,4
透天厝,59.77,55.14,16.0,0.0,0.0,0.0,0.0,左營區,2198.0,5.0,2.0,2.0,All,4
電梯大樓,39.29,21.42,24.0,0.0,0.0,0.0,0.0,鳳山區,938.0,4.0,2.0,2.0,14,14
電梯大樓,37.94,20.82,28.0,0.0,1.0,1.0,0.0,橋頭區,1058.0,3.0,2.0,2.0,20,20
公寓,24.67,13.0,97.0,0.0,0.0,1.0,0.0,楠梓區,738.0,2.0,1.0,1.0,2,15
電梯大樓,33.0,22.5,18.0,1.0,0.0,0.0,0.0,鼓山區,898.0,3.0,2.0,2.0,14,15
電梯大樓,51.24,22.68,2.0,0.0,1.0,1.0,0.0,楠梓區,1528.0,3.0,2.0,2.0,6,15
電梯大樓,49.0,23.0,2.0,1.0,1.0,1.0,0.0,鼓山區,1598.0,3.0,2.0,2.0,3,15
透天厝,57.2,51.64,20.0,0.0,0.0,1.0,0.0,鼓山區,1680.0,5.0,2.0,4.0,1,5
透天厝,55.06,50.27,0.0833333333333333,0.0,0.0,1.0,0.0,鼓山區,2180.0,4.0,2.0,3.0,1,5
電梯大樓,23.72,14.24,1.0,0.0,0.0,0.0,0.0,楠梓區,1168.0,2.0,2.0,2.0,9,15
電梯大樓,43.6,21.33,11.0,0.0,1.0,1.0,0.0,三民區,1328.0,3.0,2.0,2.0,5,15
電梯大樓,40.7,18.57,0.9166666666666666,0.0,1.0,0.0,0.0,鼓山區,1380.0,3.0,2.0,2.0,3,13
電梯大樓,39.26,20.94,24.0,0.0,1.0,0.0,0.0,橋頭區,1135.0,3.0,2.0,2.0,8,12
電梯大樓,127.05,69.31,8.0,0.0,0.0,0.0,0.0,小港區,4988.0,4.0,2.0,3.0,21,38
透天厝,38.24,38.24,42.0,0.0,0.0,1.0,0.0,三民區,980.0,4.0,2.0,3.0,All,3
電梯大樓,115.72,67.52,26.0,0.0,0.0,0.0,1.0,鼓山區,2688.0,4.0,2.0,2.0,22,23
電梯大樓,111.81,50.42,10.0,0.0,0.0,0.0,0.0,三民區,5580.0,4.0,2.0,2.0,5,28
透天厝,59.14,51.88,12.0,0.0,0.0,1.0,0.0,鼓山區,1998.0,4.0,2.0,4.0,All,4
公寓,25.37,17.66,1.0,0.0,0.0,0.0,0.0,鼓山區,598.0,3.0,2.0,1.0,2,5
電梯大樓,36.01,16.7,1.0,1.0,1.0,1.0,0.0,鼓山區,1620.0,3.0,2.0,2.0,18,26
電梯大樓,165.37,85.06,8.0,1.0,0.0,1.0,0.0,岡山區,8260.0,3.0,3.0,4.0,19,28
電梯大樓,36.1,23.91,31.0,0.0,0.0,0.0,0.0,左營區,658.0,3.0,2.0,2.0,10,14
電梯大樓,32.97,13.71,20.0,0.0,1.0,0.0,0.0,岡山區,798.0,2.0,1.0,1.0,6,10
電梯大樓,61.28,30.86,12.0,1.0,1.0,0.0,0.0,左營區,1988.0,4.0,2.0,2.0,2,15
透天厝,48.77,44.83,20.0,0.0,0.0,0.0,0.0,左營區,1768.0,5.0,2.0,4.0,All,4
電梯大樓,26.45,16.57,18.0,0.0,0.0,0.0,1.0,左營區,888.0,2.0,2.0,1.0,11,15
電梯大樓,50.48,25.54,10.0,0.0,1.0,0.0,0.0,橋頭區,1898.0,3.0,2.0,2.0,20,25
電梯大樓,45.44,27.16,29.0,1.0,1.0,0.0,1.0,三民區,1238.0,4.0,2.0,2.0,4,20
電梯大樓,65.35,33.11,8.0,0.0,1.0,1.0,0.0,鳳山區,1898.0,3.0,2.0,2.0,13,15
電梯大樓,54.35,25.72,12.0,0.0,1.0,0.0,0.0,三民區,1580.0,4.0,2.0,3.0,20,22
電梯大樓,36.11,19.49,7.0,0.0,1.0,1.0,0.0,橋頭區,1088.0,3.0,2.0,2.0,8,15
電梯大樓,72.2,43.96,31.0,1.0,1.0,1.0,0.0,三民區,1858.0,5.0,2.0,2.0,9,25
電梯大樓,21.85,13.98,20.0,0.0,0.0,0.0,1.0,三民區,628.0,2.0,2.0,2.0,5,8
電梯大樓,74.5,41.91,10.0,0.0,1.0,0.0,0.0,鼓山區,2538.0,4.0,2.0,3.0,3,15
